index,index,stop_id,stop_name,stop_lat,stop_lon
0,521,60250006099,S Blankenfelde (TF) Bhf,52.337628,13.415908
1,1043,60250007099,S Mahlow,52.360164,13.408775
2,1565,60000074208,"Berlin, Goltzstr./Lichtenrader Damm",52.387122,13.409121
3,1824,60000074101,"Berlin, Mariendorfer Damm/Buckower Chaussee",52.414567,13.401117
4,2083,60000070301,U Alt-Mariendorf  ,52.438965,13.387611
5,2605,60058102099,S Priesterweg ,52.459239,13.356028
6,3856,60024101336,S Charlottenburg Bhf ,52.504805,13.303843
7,4441,60024102372,S Westkreuz ,52.501152,13.283036
8,4453,60025321438,S Olympiastadion ,52.511135,13.241111
9,4455,60025321440,S Olympiastadion ,52.511135,13.241111
10,4469,60025321437,S Olympiastadion ,52.511135,13.241111
11,4521,60024101337,S Charlottenburg Bhf ,52.504805,13.303843
12,5326,60024102371,S Westkreuz ,52.501152,13.283036
13,5328,60025321439,S Olympiastadion ,52.511135,13.241111
14,5834,60024102373,S Westkreuz ,52.501152,13.283036
15,6032,60220114641,S Teltow Stadt,52.397147,13.275975
16,6248,60064201632,S Lichterfelde Süd ,52.409956,13.308662
17,6460,60064256622,S Osdorfer Str. ,52.418373,13.313865
18,6672,60064301622,S Lichterfelde Ost Bhf ,52.429098,13.328078
19,7131,60067221602,S Lankwitz ,52.439034,13.34276
20,7344,60063452532,S Südende ,52.448899,13.354077
21,7560,60058102524,S Priesterweg ,52.459239,13.356028
22,8619,60058101502,S Südkreuz Bhf ,52.475468,13.365579
23,9688,60058103482,S+U Yorckstr. S2 S25 S26 U7 ,52.492323,13.372226
24,10752,60012101474,S Anhalter Bahnhof ,52.504538,13.382077
25,12096,60100020454,S+U Potsdamer Platz Bhf ,52.50934,13.376454
26,13379,60100025432,S+U Brandenburger Tor ,52.516511,13.381937
27,14662,60100000432,S+U Friedrichstr. Bhf ,52.52027,13.387153
28,15945,60100007432,S Oranienburger Str. ,52.525161,13.393068
29,16459,60007104413,S Nordbahnhof ,52.531672,13.388798
30,17274,60007104411,S Nordbahnhof ,52.531672,13.388798
31,18039,60007104414,S Nordbahnhof ,52.531672,13.388798
32,19278,60008101712,S Humboldthain ,52.544738,13.37873
33,20521,60007102724,S+U Gesundbrunnen Bhf ,52.548637,13.388372
34,20926,60110011614,S Bornholmer Str. ,52.554763,13.397841
35,21329,60130003653,S Wollankstr. ,52.564974,13.39315
36,21732,60085201683,S Schönholz ,52.571901,13.380242
37,22011,60084101101,S Wilhelmsruh ,52.581588,13.363284
38,22290,60096101111,S+U Wittenau ,52.596392,13.335481
39,22650,60094101122,S Waidmannslust ,52.606814,13.320549
40,22964,60096101112,S+U Wittenau ,52.596392,13.335481
41,23278,60084101102,S Wilhelmsruh ,52.581588,13.363284
